earnings_date,fiscal_quarter,next_day,P_prev_close,P_0930,P_1030,P_1600,r_overnight,r_open_1h,r_mid_day,r_full_day,r_open_30m,r_open_2h,r_aft_2h,open1h_share,next_day_volume,eps_surprise_pct,rev_surprise_pct
2022-11-16,FY23Q3,2022-11-17,159.4,157.73,161.9395,156.8,-0.010532055856732128,0.026338098190524066,-0.03225170077359924,-0.016445658439807154,0.009460591202785801,0.005721255313289952,-0.0066424309445776665,0.3217020746321626,66701752.0,-18.30985915492958,2.417962003454226
2023-02-22,FY23Q4,2023-02-23,207.65,233.77,237.28,236.58,0.11848375592918388,0.014903152383675462,-0.002954461272031128,0.1304324470408282,0.02078601664793462,-0.0026342575601638056,-7.608391040745032e-06,0.38681908330584897,102282446.0,8.64197530864197,0.49833887043189784
2023-05-24,FY24Q1,2023-05-25,305.41,379.7,382.6672,379.79,0.21772633104692496,0.007784214700897172,-0.007547213554282201,0.21796333219353994,0.00975917679976152,0.027201074346144494,-0.0146632875958944,0.38521558946714907,136452515.0,18.478260869565222,10.276073619631914
2023-08-23,FY24Q2,2023-08-24,471.22,493.89,481.0,471.62,0.04698774406968722,-0.02644555022227895,-0.01969369352073921,0.0008485003266692484,-0.01894774164578015,-0.030382604187577482,-0.028160658000008443,0.35470952344858486,105228184.0,29.186602870813417,22.37318840579711
2023-11-21,FY24Q3,2023-11-22,499.8949,496.71,483.1482,487.065,-0.006391521539446233,-0.027682915900322784,0.008074145514797827,-0.026000291924971088,-0.02501297655871293,-0.027658493050551524,-0.0125171868880848,0.36463917638093873,83248389.0,19.28783382789316,11.990111248454891
2024-02-21,FY24Q4,2024-02-22,674.85,745.1,778.4065,784.65,0.09902799360439092,0.04373044373973585,0.00798887718531205,0.15074731452943865,0.0350774359038756,0.041921912807965506,0.009292387656237001,0.43290855572709125,74475599.0,11.20689655172415,8.28025477707007
2024-05-22,FY25Q1,2024-05-23,948.7,1024.5836,1041.14,1038.21,0.07694893873182931,0.01602998051295302,-0.0028181902413921558,0.09016072900339021,0.005544323810150531,0.02146115840289584,-0.008688701879232832,0.3245473020242415,75477309.0,9.481216457960649,5.638945233265723
2024-08-28,FY25Q2,2024-08-29,125.66,120.11,120.99,117.63,-0.045171857408402016,0.007299907986987584,-0.028163792581036507,-0.066035742002451,0.024182787270665952,0.00977638275439041,-0.023607598641183194,0.34393629131919423,392113346.0,6.250000000000005,4.0887040887040875
2024-11-20,FY25Q3,2024-11-21,145.93,150.615,140.85,146.62,0.03159985731985492,-0.0670314176771278,0.04014871147305898,0.004717151115786047,-0.036063997146526215,-0.037028118149518535,-0.005509281066287858,0.3858967364610866,347351121.0,8.000000000000007,5.503759398496236
2025-02-26,FY25Q4,2025-02-27,131.52,134.09,126.99,120.01,0.01935228498368095,-0.05440287309060869,-0.05653327055759198,-0.09158385866451985,-0.06470220569929035,-0.05607684604538046,-0.047331285499900975,0.3176801369106818,376352227.0,5.952380952380958,3.2825630252100844
2025-05-28,FY26Q1,2025-05-29,134.81,142.185,140.39,139.18,0.05326264687014192,-0.012704762589254879,-0.008656204567155724,0.031901679713731285,-0.0050943622810545935,-0.005182728825538534,0.0015819374838544058,0.38981502754879627,328413986.0,9.090909090909086,1.7317016855229739
2025-08-27,FY26Q2,2025-08-28,181.6,183.91,177.77,180.2,0.012640041343696774,-0.03395592757629547,0.013576765239643454,-0.007739120992955384,-0.03767549904234865,-0.023714351642790458,0.0012666175817459796,0.4035183600590124,240498410.0,6.060606060606066,1.8522553933318835
2025-11-19,FY26Q3,2025-11-20,186.775,194.2545,194.075,180.91,0.039264471140729715,-0.0009244727108507447,-0.07024501225857427,-0.03190501382869516,0.006544153904986987,-0.023883435006363803,-0.006419020070809041,0.24942326451217225,304419450.0,5.555555555555539,2.1734795613160585
2026-02-25,FY26Q4,2026-02-26,195.88,193.35,185.8,184.87,-0.013000208780810533,-0.03983119167356783,-0.00501795101538405,-0.05784935146976237,-0.023162493414016327,-0.02859211163388641,-0.002269289929968933,0.34696404764454275,323226861.0,6.086956521739136,2.426470588235295
