m,mean,std,count,se
133,-0.00011706955218481671,0.03321974319252081,24,0.006780951683997586
134,-1.586900351120372e-05,0.03344155288253451,24,0.006826228397375793
135,2.3115034841076552e-05,0.0331849146378852,24,0.0067738423350529285
136,0.00010655278810330043,0.03303562975248429,24,0.006743369685424421
137,-0.000384119448323668,0.03368620144148395,24,0.006876167075353571
138,-0.0003058409222276715,0.03321573922744822,24,0.006780134378049606
139,-1.0658846944355121e-06,0.03341049854505387,24,0.006819889457281812
140,-0.00030940733745831475,0.033584485315136386,24,0.006855404358006571
141,-0.0007028006237952524,0.033530348826617984,24,0.006844353793561894
142,-0.001066822112609109,0.03385354041290826,24,0.006910324999859548
143,-0.0012845556866180365,0.034057329384556974,24,0.006951923249505037
144,-0.001945157642861497,0.03442771941850927,24,0.007027528798587976
145,-0.0017733938722518498,0.034845245485135797,24,0.007112755950050165
146,-0.001664901841464851,0.03481574869738478,24,0.007106734943463402
147,-0.002114346457562526,0.035345435690704446,24,0.00721485684821525
148,-0.0025032786288639954,0.035584560755798855,24,0.007263668047731177
149,-0.002456517013199377,0.03551014088926523,24,0.007248477156086727
150,-0.0022122410755371345,0.03540181247083907,24,0.007226364710271159
151,-0.0017620251487001782,0.03522005534244767,24,0.007189263691798453
152,-0.00121789406609456,0.03514468497455382,24,0.007173878779876306
153,-0.0014375542132212934,0.035098955662058104,24,0.007164544323051074
154,-0.0011099462054841287,0.03527062799258707,24,0.007199586790780272
155,-0.0009909156125943114,0.03562196853903455,24,0.007271303879509184
156,-0.0012089107622217724,0.03579655947756461,24,0.007306942105601874
157,-0.0016781795873301675,0.035459741046982296,24,0.007238189331360898
158,-0.0014225101942567746,0.03480513447249229,24,0.007104568323879922
159,-0.0018051698191250915,0.03454901648622797,24,0.007052288458855195
160,-0.0019678106819072264,0.035133526164458924,24,0.007171600997303879
161,-0.001803710203513583,0.03498478385885363,24,0.007141239101312372
162,-0.0017240900527670533,0.03491430421509106,24,0.007126852504273087
163,-0.0018519486296104542,0.03539608837148774,24,0.0072251962833838465
164,-0.001901428242758503,0.03501859422438128,24,0.007148140613275683
165,-0.002060527756107435,0.03497123518001852,24,0.0071384734888261326
